cig;numero_gara;importo_complessivo_gara;n_lotti_componenti;importo_lotto;settore;data_pubblicazione;tipo_scelta_contraente;modalita_realizzazione;denominazione_amministrazione_appaltante;sezione_regionale;descrizione_cpv;aggiudicatario;tipo_aggiudicatario
28745845C1;2919580;252000.0;2.0;126000.0;SETTORI SPECIALI;2008-12-19;AFFIDAMENTO DIRETTO;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;AZIENDA SANITARIA LOCALE BA;SEZIONE REGIONALE PUGLIA;SCANNER CAT;TOSHIBA MEDICAL SYSTEM S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
26834103FB;2742499;519022.0;1.0;519022.0;SETTORI ORDINARI;2008-12-01;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);ACCORDO QUADRO/CONVENZIONE;C.I.P.E - CONSORZIO INTERISTITUZIONALE PER PROGETTI ELETTRONICI;SEZIONE REGIONALE LIGURIA;PACCHETTI SOFTWARE PER BASE DATI;EMERALD GROUP PUBLISHING LIMITED;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
279522222A;2844744;1395695.625;1.0;1395695.63;SETTORI ORDINARI;2008-12-19;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;AZIENDA SANITARIA LOCALE N.3;SEZIONE REGIONALE UMBRIA;SERVIZI AZIENDALI VARI;CONSORZIO ABN A & B NETWORK SOCIALE SOC. COOP. SOC;"CONSORZIO (CONSORZI TRA SOCIETACOOPERATIVE DI PRODUZIONE E LAVORO; CONSORZI TRA IMPRESE ARTIGIANE; CONSORZI STABILI)"
1010219B14;1062535;87500.0;1.0;87500.0;SETTORI ORDINARI;2008-12-03;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;ACQUISIZIONE IN ECONOMIA;COMUNE DI CERVIGNANO DEL FRIULI;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;ARTICOLI ELETTRICI;ELMEC DI ZUIANI CLAUDIO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
29079937BB;2951399;466540.781;1.0;466540.78;SETTORI ORDINARI;2008-12-15;PROCEDURA APERTA;CONTRATTO DAPPALTO;AZIENDA UNITA  SANITARIA LOCALE N. 3;SEZIONE REGIONALE SARDEGNA;MEDICINALI VARI;ASTRAZENECA S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
02266437B6;301861;86005.0;1.0;86005.0;SETTORI ORDINARI;2008-12-10;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DECIMOPUTZU;SEZIONE REGIONALE SARDEGNA;LAVORI DI COSTRUZIONE DI DEPOSITI DI SERVIZIO;M.EDIL DI MUSA DAVIDE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0257690C80;344853;90000.0;1.0;90000.0;SETTORI ORDINARI;2008-12-31;PROCEDURA APERTA;CONTRATTO DAPPALTO;PROVINCIA OLBIA TEMPIO;SEZIONE REGIONALE SARDEGNA;STUDI DI FATTIBILITÀ, SERVIZI DI CONSULENZA, ANALISI;ATI OIKOS PROGETTI SRL IDECOM SRL;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0257690C80;344853;90000.0;1.0;90000.0;SETTORI ORDINARI;2008-12-31;PROCEDURA APERTA;CONTRATTO DAPPALTO;PROVINCIA OLBIA TEMPIO;SEZIONE REGIONALE SARDEGNA;STUDI DI FATTIBILITÀ, SERVIZI DI CONSULENZA, ANALISI;IDECOM S.R.L.;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
2231023A69;2306398;847760.0;1.0;847760.0;SETTORI ORDINARI;2008-12-17;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;AZIENDA USL 7 DI SIENA;SEZIONE REGIONALE TOSCANA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI E MECCANICI DI EDIFICI;CITIS SOC. COOP.;"CONSORZIO (CONSORZI TRA SOCIETACOOPERATIVE DI PRODUZIONE E LAVORO; CONSORZI TRA IMPRESE ARTIGIANE; CONSORZI STABILI)"
0244663E47;325226;63000.0;1.0;63000.0;SETTORI ORDINARI;2008-12-31;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;COMUNE DI SELARGIUS;SEZIONE REGIONALE SARDEGNA;LAVORI DI RISTRUTTURAZIONE;EDIL SPADA SAS;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
28348819CC;2881757;24072.9;1.0;24072.9;SETTORI ORDINARI;2008-12-15;PROCEDURA APERTA;CONTRATTO DAPPALTO;AZIENDA UNITA  SANITARIA LOCALE N. 3;SEZIONE REGIONALE SARDEGNA;MEDICINALI VARI;ALCON ITALIA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0252209173;336725;1121000.0;1.0;1121000.0;SETTORI ORDINARI;2008-12-19;PROCEDURA APERTA;CONTRATTO DAPPALTO;COMUNE DI TORTOLI;SEZIONE REGIONALE SARDEGNA;SERVIZI DI ASSISTENZA SOCIALE;CONSORZIO REGIONALE TERRITORIALE NETWORK ETICO;"CONSORZIO (CONSORZI TRA SOCIETACOOPERATIVE DI PRODUZIONE E LAVORO; CONSORZI TRA IMPRESE ARTIGIANE; CONSORZI STABILI)"
29068253DF;2950320;30584.0;1.0;30584.0;SETTORI ORDINARI;2008-12-15;PROCEDURA APERTA;CONTRATTO DAPPALTO;AZIENDA UNITA  SANITARIA LOCALE N. 3;SEZIONE REGIONALE SARDEGNA;MEDICINALI VARI;GERMED PHARMA SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0256056816;342412;45000.0;1.0;45000.0;SETTORI ORDINARI;2008-12-21;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO DAPPALTO;AZIENDA UNITA  LOCALE SOCIO SANITARIA N. 13 - REGIONE VENETO;SEZIONE REGIONALE VENETO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI DI EDIFICI;C.A.M.M.I. DI SAURI FRANCESCO E C. S.N.C.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
027590325B;364496;131187.15;1.0;131187.15;SETTORI ORDINARI;2008-12-31;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;SEGRETERIA REGIONALE DEL MIBACT PER LA CALABRIA;SEZIONE REGIONALE CENTRALE;LAVORI DI RESTAURO;FALVO COSTRUZIONI GENERALI S.A.S.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
37827854EE;3777461;71072.141;1.0;71072.14;SETTORI ORDINARI;2008-12-04;AFFIDAMENTO DIRETTO;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;COMUNE DI ARPINO;SEZIONE REGIONALE LAZIO;SERVIZI DI PROGETTAZIONE DI EDIFICI;RIZZO STEFANO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3218505A56;3238302;67520.57;1.0;67520.57;SETTORI ORDINARI;2008-12-03;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNITA  MONTANA DEL VELINO VI ZONA-REGIONE LAZIO-;SEZIONE REGIONALE LAZIO;ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI;GRAZIANI MARCELLO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
29198700F3;2962326;71073.898;1.0;71073.9;SETTORI ORDINARI;2008-12-15;PROCEDURA APERTA;CONTRATTO D'APPALTO;AZIENDA UNITA  SANITARIA LOCALE N. 3;SEZIONE REGIONALE SARDEGNA;MEDICINALI VARI;FIDIA FARMACEUTICI S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2919865CCF;2962316;356451.094;1.0;356451.09;SETTORI ORDINARI;2008-12-15;PROCEDURA APERTA;CONTRATTO DAPPALTO;AZIENDA UNITA  SANITARIA LOCALE N. 3;SEZIONE REGIONALE SARDEGNA;MEDICINALI VARI;BRISTOL-MYERS SQUIBB SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
28590323D7;2904534;170748.15;1.0;170748.15;SETTORI ORDINARI;2008-12-11;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;SCUOLA SUPERIORE DELLA PUBBLICA AMMINISTRAZIONE LOCALE;SEZIONE REGIONALE CENTRALE;FOTOCOPIATRICI E STAMPANTI OFFSET;UNICREDIT LEASING ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
30253906CD;3060537;80000.0;2.0;40000.0;SETTORI ORDINARI;2008-12-13;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI TAGLIO DI PO;SEZIONE REGIONALE VENETO;SERVIZI DI PROGETTAZIONE TECNICA PER LA COSTRUZIONE DI OPERE DI INGEGNERIA CIVILE;FRIGATO ALESSANDRO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
55262841D3;5385022;221727.27;1.0;221727.27;SETTORI SPECIALI;2008-12-01;AFFIDAMENTO DIRETTO EX ART.5 DELLA LEGGE N.381/91;CONTRATTO D'APPALTO;COMUNE DI SAN LEO;SEZIONE REGIONALE EMILIA ROMAGNA;LAVORI SPECIALIZZATI DI COSTRUZIONE VARI;ALPI DE.CO S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
02701327F8;360110;84710.28;1.0;84710.28;SETTORI ORDINARI;2008-12-30;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;ROMA CAPITALE;SEZIONE REGIONALE LAZIO;LAVORI EDILI;SARAPPALTI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0240422282;317579;2762004.61;9.0;380471.7;SETTORI ORDINARI;2008-12-18;PROCEDURA RISTRETTA;CONTRATTO D'APPALTO;COMANDO LOGISTICO - DIREZIONE DI COMMISARIATO;SEZIONE REGIONALE CENTRALE;PACCHI DI GENERI ALIMENTARI;DOMENICO VENTURA SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3974289707;3956913;45925.09;1.0;45925.09;SETTORI ORDINARI;2008-12-19;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI COLLEPASSO;SEZIONE REGIONALE PUGLIA;LAVORI DI COSTRUZIONE DI STRADE SECONDARIE;ROSSETTO ROSSANO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
6009465F62;5826568;13650000.0;4.0;2115000.0;SETTORI ORDINARI;2008-12-03;PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA;CONTRATTO DAPPALTO;COMUNE DI MILANO;SEZIONE REGIONALE LOMBARDIA;SERVIZI SOCIALI;KCS CAREGIVER COOP.VA SOCIALE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
02481950FE;330803;300000.0;1.0;300000.0;SETTORI SPECIALI;2008-12-04;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;MINISTERO DELLAMBIENTE E DELLA TUTELA DEL TERRITORIO E DEL MARE;SEZIONE REGIONALE CENTRALE;PROGETTAZIONE E REALIZZAZIONE DI RICERCA E SVILUPPO;UNIVERSITÀ PARTHENOPE - DIPARTIMENTO DI SCIENZE APPLICATE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2671398B5B;2730010;22500.0;1.0;22500.0;SETTORI ORDINARI;2008-12-15;AFFIDAMENTO DIRETTO;CONTRATTO DAPPALTO;UNITA LOCALE SOCIO-SANITARIA N.2;SEZIONE REGIONALE VENETO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICHE;ALOKA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
599450994F;5811216;118421.0;1.0;118421.0;SETTORI ORDINARI;2008-12-31;AFFIDAMENTO DIRETTO EX ART.5 DELLA LEGGE N.381/91;CONTRATTO D'APPALTO;COMUNE DI CASTROLIBERO;SEZIONE REGIONALE CALABRIA;LAVORI GENERALI DI COSTRUZIONE DI LINEE ELETTRICHE;LIGEAM SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
2906935EA2;2950424;370565.313;1.0;370565.3;SETTORI ORDINARI;2008-12-15;PROCEDURA APERTA;CONTRATTO DAPPALTO;AZIENDA UNITA  SANITARIA LOCALE N. 3;SEZIONE REGIONALE SARDEGNA;MEDICINALI VARI;GILEAD SCIENCES SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3028756085;3063829;159001.313;1.0;159001.32;SETTORI ORDINARI;2008-12-15;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;RAI RADIOTELEVISIONE ITALIANA S.P.A.;SEZIONE REGIONALE CENTRALE;MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELLINFORMAZIONE;PROGEL SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
10399409A0;1092062;120000.0;1.0;120000.0;SETTORI ORDINARI;2008-12-05;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;COMUNE DI LARCIANO;SEZIONE REGIONALE TOSCANA;PACCHI DI GENERI ALIMENTARI;GIOVANNELLI S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3121242261;3148971;79262.19;1.0;79262.19;SETTORI ORDINARI;2008-12-02;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;ACCORDO QUADRO/CONVENZIONE;AZIENDA PER LA TUTELA DELLA SALUTE;SEZIONE REGIONALE SARDEGNA;BIANCHERIA DA OSPEDALE;3.M.C. SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3121242261;3148971;79262.19;1.0;79262.19;SETTORI ORDINARI;2008-12-02;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;ACCORDO QUADRO/CONVENZIONE;AZIENDA PER LA TUTELA DELLA SALUTE;SEZIONE REGIONALE SARDEGNA;BIANCHERIA DA OSPEDALE;DELTAMED ITALIA S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3121242261;3148971;79262.19;1.0;79262.19;SETTORI ORDINARI;2008-12-02;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;ACCORDO QUADRO/CONVENZIONE;AZIENDA PER LA TUTELA DELLA SALUTE;SEZIONE REGIONALE SARDEGNA;BIANCHERIA DA OSPEDALE;GL MEDICAL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3121242261;3148971;79262.19;1.0;79262.19;SETTORI ORDINARI;2008-12-02;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;ACCORDO QUADRO/CONVENZIONE;AZIENDA PER LA TUTELA DELLA SALUTE;SEZIONE REGIONALE SARDEGNA;BIANCHERIA DA OSPEDALE;FARMAC ZABBAN SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3121242261;3148971;79262.19;1.0;79262.19;SETTORI ORDINARI;2008-12-02;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;ACCORDO QUADRO/CONVENZIONE;AZIENDA PER LA TUTELA DELLA SALUTE;SEZIONE REGIONALE SARDEGNA;BIANCHERIA DA OSPEDALE;MON & TEX SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2993021F0C;3030618;376000.0;1.0;376000.0;SETTORI ORDINARI;2008-12-23;PROCEDURA APERTA;CONCORSI DI PROGETTAZIONE/CONCORSI DI IDEE;DIREZIONE PER LO SVILUPPO SOSTENIBILE IL CLIMA E LENERGIA;SEZIONE REGIONALE CENTRALE;PROGETTAZIONE E REALIZZAZIONE DI RICERCA E SVILUPPO;UNIVERSITÀ DEGLI STUDI DI SALERNO DIP DI INGEGNERIA ;"CONSORZIO (CONSORZI TRA SOCIETACOOPERATIVE DI PRODUZIONE E LAVORO; CONSORZI TRA IMPRESE ARTIGIANE; CONSORZI STABILI)"
5002938B08;4910505;76342.07;1.0;76342.07;SETTORI ORDINARI;2008-12-25;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);ACQUISIZIONE IN ECONOMIA;COMUNE DI SELEGAS;SEZIONE REGIONALE SARDEGNA;SERVIZI DI PROGETTAZIONE DI EDIFICI;ING. FRANCESCO FIORI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
5002938B08;4910505;76342.07;1.0;76342.07;SETTORI ORDINARI;2008-12-25;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);ACQUISIZIONE IN ECONOMIA;COMUNE DI SELEGAS;SEZIONE REGIONALE SARDEGNA;SERVIZI DI PROGETTAZIONE DI EDIFICI;STUDIO TECNICO ASSOCIATO DI INGEGNERIA BLUE PROJET;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
5002938B08;4910505;76342.07;1.0;76342.07;SETTORI ORDINARI;2008-12-25;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);ACQUISIZIONE IN ECONOMIA;COMUNE DI SELEGAS;SEZIONE REGIONALE SARDEGNA;SERVIZI DI PROGETTAZIONE DI EDIFICI;CONTU ING. MAURIZIO GIUSEPPE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3563317E32;3566023;90000.0;1.0;90000.0;SETTORI ORDINARI;2008-12-15;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;UNIVERSITA' DEGLI STUDI DI CATANIA;SEZIONE REGIONALE CENTRALE;IMPIANTI MECCANICI;SIE SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
1617584889;1683512;149155.0;1.0;149155.0;SETTORI ORDINARI;2008-12-23;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;COMUNE DI ANZOLA DELL EMILIA;SEZIONE REGIONALE EMILIA ROMAGNA;SERVIZI DI ASSICURAZIONE DI RESPONSABILITÀ CIVILE;UNIPOL ASSICURAZIONI SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0245841A66;327111;441906.22;2.0;379656.22;SETTORI ORDINARI;2008-12-04;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO D'APPALTO;SEGRETERIA REGIONALE DEL MIBACT PER LA CALABRIA;SEZIONE REGIONALE CENTRALE;LAVORI DI RESTAURO;COSTRUZIONI GENERALI SRL DI SICLARI AGOSTINO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3786273352;3780642;148760.33;1.0;148760.33;SETTORI ORDINARI;2008-12-03;PROCEDURA RISTRETTA;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;COMUNE DI VEDELAGO;SEZIONE REGIONALE VENETO;SERVIZI TELEFONICI LOCALI;ASCO TLC SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0243823918;324025;2381060.0;14.0;153000.0;SETTORI ORDINARI;2009-01-23;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;AZIENDA OSPEDALIERA SANTA CROCE E CARLE;SEZIONE REGIONALE PIEMONTE;SUTURE CHIRURGICHE;SURGIC ALL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3960256AA0;3944567;56000.0;1.0;56000.0;SETTORI ORDINARI;2009-01-26;PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA;CONTRATTO D'APPALTO;COMUNE DI FELTRE;SEZIONE REGIONALE VENETO;LAVORI DI RISTRUTTURAZIONE;MORES ANGELO S.A.A;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3521304FF8;3525793;134000.0;1.0;134000.0;SETTORI SPECIALI;2009-01-29;PROCEDURA SELETTIVA EX ART. 238 C.7, D.LGS. 163/2006;CONTRATTO DAPPALTO;ACQUA CAMPANIA SPA;SEZIONE REGIONALE CAMPANIA;VARI SERVIZI DI INGEGNERIA;S.T.I.GE. S.R.L. STUDIO TECNICO DI INGEGNERIA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
11299922E5;1183067;174997.1;1.0;174997.1;SETTORI ORDINARI;2009-01-29;AFFIDAMENTO DIRETTO;CONTRATTO D'APPALTO;COMUNE DI PALOMBARA SABINA;SEZIONE REGIONALE LAZIO;LAVORI DI COSTRUZIONE DI STRADE;COSAR SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0609427311;648999;114124.094;1.0;114124.09;SETTORI ORDINARI;2009-01-12;AFFIDAMENTO DIRETTO EX ART.5 DELLA LEGGE N.381/91;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;COMUNE DI IGLESIAS;SEZIONE REGIONALE SARDEGNA;SERVIZI DI RIABILITAZIONE;SOCIETÀ COOPERATIVA SOCIALE SAN LORENZO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3043707279;3076952;375000.0;1.0;375000.0;SETTORI ORDINARI;2009-01-27;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);ACQUISIZIONE IN ECONOMIA;CENTRO DI RIFERIMENTO ONCOLOGICO DI BASILICATA-ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO;SEZIONE REGIONALE BASILICATA;ARTICOLI DI FARMACIA;UNIPHARMA S.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3043707279;3076952;375000.0;1.0;375000.0;SETTORI ORDINARI;2009-01-27;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);ACQUISIZIONE IN ECONOMIA;CENTRO DI RIFERIMENTO ONCOLOGICO DI BASILICATA-ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO;SEZIONE REGIONALE BASILICATA;ARTICOLI DI FARMACIA;INTER FARMACI ITALIA SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3043707279;3076952;375000.0;1.0;375000.0;SETTORI ORDINARI;2009-01-27;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);ACQUISIZIONE IN ECONOMIA;CENTRO DI RIFERIMENTO ONCOLOGICO DI BASILICATA-ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO;SEZIONE REGIONALE BASILICATA;ARTICOLI DI FARMACIA;INTERCOMPANY PHARMA TRADING;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
