"cig";"cig_accordo_quadro";"numero_gara";"oggetto_gara";"importo_complessivo_gara";"n_lotti_componenti";"oggetto_lotto";"importo_lotto";"oggetto_principale_contratto";"stato";"settore";"luogo_istat";"provincia";"data_pubblicazione";"data_scadenza_offerta";"cod_tipo_scelta_contraente";"tipo_scelta_contraente";"cod_modalita_realizzazione";"modalita_realizzazione";"codice_ausa";"cf_amministrazione_appaltante";"denominazione_amministrazione_appaltante";"sezione_regionale";"id_centro_costo";"denominazione_centro_costo";"anno_pubblicazione";"mese_pubblicazione";"cod_cpv";"descrizione_cpv";"flag_prevalente"
"0009049B75";"";"14058";"REALIZZAZIONE NUOVA SEDE DEL COMUNE DI CALVIGNASCO";"594000.0";;"REALIZZAZIONE NUOVA SEDE DEL COMUNE DI CALVIGNASCO";"594000.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-23";"2007-03-26";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000247843";"80105450151";"COMUNE DI CALVIGNASCO";"SEZIONE REGIONALE LOMBARDIA";"8A3602E8-EBF6-41AE-88A2-A2A91750981E";"COMUNE";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0006689FEB";"";"10771";"LAVORI DI FORNITURA E POSA PORTE, MODIFICA ED INTEGRAZIONE IMPIANTI PRESSO LA NUOVA ALA SUD DEL P.O. DI RHO";"198500.0";;"LAVORI DI FORNITURA E POSA PORTE, MODIFICA ED INTEGRAZIONE DI IMPIANTI PRESSO LA NUOVA ALA SUD DEL P.O. DI RHO";"198500.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-19";"2007-02-23";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000235246";"12314450151";"AZIENDA OSPEDALIERA G. SALVINI";"SEZIONE REGIONALE LOMBARDIA";"8841F871-47A6-4D84-9A4E-B5D4797DE8C4";"AREA TECNICO PATRIMONIALE";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"00037148E1";"";"5916";"RAMPE, RUBINETTI E LINEE DI PROLUNGAMENTO";"79600.0";;"LINEE DI PROLUNGAMENTO IN PVC";"25300.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-26";"2007-04-13";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000233566";"06815430019";"AZIENDA OSPEDALIERA O.I.R.M. - SANT'ANNA";"SEZIONE REGIONALE PIEMONTE";"6A8ECADA-DCF8-4403-B1B3-EF2B3ACFE2EC";"S.C. PROVVEDITORATO";"2007";"2";"33000000-0";"APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.";"1"
"0004560307";"";"7266";"SERVIZIO VIGILANZA PRESSO ENTI, REPARTI E DTACCAMENTI";"6443162.0";;"SERVIZIO DI VIGILANZA PRESSO EDR NELLA PROVINCIA DI VERONA";"408400.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-14";"2007-02-21";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000247389";"97161630583";"MINISTERO DIFESA DIR.GEN.COMMISS.TO SERVIZI GENERALI";"SEZIONE REGIONALE CENTRALE";"D3F7B5DD-45A3-4C7B-97DE-0BAEB02BF0E9";"DIREZIONE GENERALE DEI SERVIZI GENERALI TERZA DIVISIONE";"2007";"2";"93000000-8";"SERVIZI VARI.";"1"
"00080345DC";"";"12594";"FORNITURA AUTOCLAVI";"180000.0";;"FORNITURA AUTOCLAVI";"180000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-27";"2007-03-07";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000197574";"02411080126";"A.O. OSPEDALE DI CIRCOLO DI BUSTO ARSIZIO";"SEZIONE REGIONALE LOMBARDIA";"9E477021-B4C1-4056-A17F-C453065B1BF8";"DIREZIONE AMMINISTRATIVA P.O. TRADATE";"2007";"2";"33000000-0";"APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.";"1"
"000215632F";"";"2833";"LAVORI A CORPO E A MISURA DI COSTRUZIONE NUOVA SCUOLA MATERNA";"554472.0";;"LAVORI DI COSTRUZIONE NUOVA SCUOLA MATERNA";"554472.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-13";"2007-03-23";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000157721";"00178480208";"COMUNE DI SUZZARA";"SEZIONE REGIONALE LOMBARDIA";"6FE899E2-7886-4590-9C23-C0C9CF6D964C";"UFFICIO APPALTI E CONTRATTI";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0008330A1F";"";"13026";"RILEVAZIONE DELLE LETTURE MENSILI DEI MISURATORI UNITÀ TERRITORIALE SARDEGNA-APR15211";"151000.0";;"RILEVAZIONE DELLE LETTURE MENSILI DEI MISURATORI NELL'AMBITO TERRITORIALE DELL'UNITÀ VETTORIAMENTO UTR SARDEGNA, AREA DI OLBIA-APR15211";"28160.0";"FORNITURE";"ATTIVO";"SETTORI SPECIALI";"";"";"2007-02-27";"2007-03-09";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000169574";"00811720580";"ENEL - SPA";"SEZIONE REGIONALE CENTRALE";"826E80FC-D721-4DB5-AAC6-25DA9B86815A";"ENEL S.P.A.-ACQUISTI E SERVIZI-APPROVVIGIONAMENTI RETI E MERCATO-APPALTI RETE ELETTRICA";"2007";"2";"40000000-2";"ELETTRICITÀ, GAS, ENERGIA E COMBUSTIBILI NUCLEARI, VAPORE, ACQUA CALDA ED ALTRE SORGENTI DI ENERGIA.";"1"
"000550922B";"";"8845";"SERVIZIO DI COPERTURA ASSICURATIVA";"975500.0";;"RCP PATRIMONIALE";"169000.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-16";"2007-03-05";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000178383";"01329130486";"COMUNE DI BAGNO A RIPOLI";"SEZIONE REGIONALE TOSCANA";"BB1EC175-A017-4218-96F2-7B759E686B03";"LAVORI PUBBLICI";"2007";"2";"66000000-0";"SERVIZI DI INTERMEDIAZIONE FINANZIARIA.";"1"
"000545559A";"";"8767";"GARA O&M15084 - SERVIZIO ANNUALE (CON OPZIONE PER ULTERIORI 12 MESI) DI SERVIZI DI PULIZIA INDUSTRIALE PRESSO LA CENTRALE TERMOELETTRICA DI BRINDISI SUD: ATTIVITÀ DI ASPIRAZIONE MEDIANTE AUTOSPUGO; PULIZIE INDUSTRIALI LOCALI CALDAIA, SALA MACCHINE, DENITRIFICATORI, DESOLFORATORI, CIMINIERA, IMPIANTI VARI DI CENTRALE ED AREE PROSPICIENTI, COPERTE E SCOPERTE; PULIZIA NASTRO TRASPORTATORE GESSO; PULIZIA NASTRO TRASPORTATORE CARBONE";"4800000.0";;"GARA O&M15084 - SERVIZIO ANNUALE (CON OPZIONE PER ULTERIORI 12 MESI) DI SERVIZI DI PULIZIA INDUSTRIALE PRESSO LA CENTRALE TERMOELETTRICA DI BRINDISI SUD: ATTIVITÀ DI ASPIRAZIONE MEDIANTE AUTOSPUGO; PULIZIE INDUSTRIALI LOCALI CALDAIA, SALA MACCHINE, DENITRIFICATORI, DESOLFORATORI, CIMINIERA, IMPIANTI VARI DI CENTRALE ED AREE PROSPICIENTI, COPERTE E SCOPERTE; PULIZIA NASTRO TRASPORTATORE GESSO; PULIZIA NASTRO TRASPORTATORE CARBONE";"4800000.0";"SERVIZI";"ATTIVO";"SETTORI SPECIALI";"";"";"2007-02-26";"2007-04-05";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000222818";"05617841001";"ENEL PRODUZIONE SPA";"SEZIONE REGIONALE CENTRALE";"D43B23D1-32CB-43B1-917B-CBF8B8C1FBC7";"CAA - APG OEM - SERVIZI E LAVORI";"2007";"2";"90000000-7";"SERVIZI DI SMALTIMENTO DI RIFIUTI E ACQUE REFLUE, SERVIZI DI IGIENIZZAZIONE E SERVIZI AMBIENTALI.";"1"
"26664632E0";"";"2717947";"PROCEDURA PER L'AFFIDAMENTO DELLA FORNITURA IN SOMMINISTRAZIONE DI VETRERIA E MATERIALE DI CONSUMO VARIO PER LE UU.OO. OSPEDALIERE.";"74980.25";"67";"VASCHETTA COPLIN PER COLORAZIONI VETRINI (EX LOTTO N.66)";"40.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-09";"2007-02-27";"3";"PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE";"7";"ACQUISIZIONE IN ECONOMIA";"0000248418";"01825570854";"AZIENDA SANITARIA PROVINCIALE DI CALTANISSETTA";"SEZIONE REGIONALE SICILIA";"2180AEA3-27B7-445F-B15E-F67F7D5EBD07";"P.O.S.ELIA  U.O. PROVVEDITORATO";"2007";"2";"";"";
"0003539877";"";"5698";"DISERBO  PULIZIA  E LAVORI CIVILI VARI AREA CICOSTANTE GALLERIA METALLICA C.LE CONTRASTO ADRANO CT";"106000.0";;"DISERBO  PULIZIA  E LAVORI CIVILI VARI AREA CIRCOSTANTE GALLERIA METALLICA C.LE CONTRASTO ADRANO CT";"106000.0";"SERVIZI";"ATTIVO";"SETTORI SPECIALI";"";"";"2007-02-20";"2007-03-09";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000222818";"05617841001";"ENEL PRODUZIONE SPA";"SEZIONE REGIONALE CENTRALE";"1F7CE71B-F6DF-4881-83BE-81801000E238";"CAA-APG OEM POLO TERMOIDROSUD-UFFICIO DI NAPOLI";"2007";"2";"50000000-5";"SERVIZI DI RIPARAZIONE, MANUTENZIONE E INSTALLAZIONE.";"1"
"26592892B4";"";"2717947";"PROCEDURA PER L'AFFIDAMENTO DELLA FORNITURA IN SOMMINISTRAZIONE DI VETRERIA E MATERIALE DI CONSUMO VARIO PER LE UU.OO. OSPEDALIERE.";"74980.25";"67";"BOTTIGLIA DI MARIOTTE IN POLIETILENE (EX LOTTO N.6)";"28.4";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-09";"2007-02-27";"3";"PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE";"7";"ACQUISIZIONE IN ECONOMIA";"0000248418";"01825570854";"AZIENDA SANITARIA PROVINCIALE DI CALTANISSETTA";"SEZIONE REGIONALE SICILIA";"2180AEA3-27B7-445F-B15E-F67F7D5EBD07";"P.O.S.ELIA  U.O. PROVVEDITORATO";"2007";"2";"";"";
"0006242F0B";"";"10070";"LAVORI DI RECUPERO DI ALLOGGI DI ERP ";"62987.0";;"LOTTO 2847 IN CERIGNOLA(FG) ";"62987.5";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-20";"2007-02-21";"2";"PROCEDURA RISTRETTA";"1";"CONTRATTO D'APPALTO";"0000158507";"00131190712";"ARCA CAPITANATA";"SEZIONE REGIONALE PUGLIA";"D7A3CB7C-F216-4032-A8D5-2BD3360B69BA";"STRUTTURA TEC.COSTRUZIONE";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0008371BF4";"";"13076";"LAVORI DI CONSOLIDAMENTO DEL MOVIMENTO FRANOSO SULLA S.P.325 IN LOCALITÀ GARDELLETTA NEL COMUNE DI MONZUNO (BO)";"190000.0";;"LAVORI DI CONSOLIDAMENTO DEL MOVIMENTO FRANOSO SULLA S.P.325 IN LOCALITÀ GARDELLETTA NEL COMUNE DI MONZUNO (BO)";"190000.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-26";"2007-03-14";"2";"PROCEDURA RISTRETTA";"1";"CONTRATTO D'APPALTO";"0000238113";"80022230371";"PROVINCIA DI BOLOGNA";"SEZIONE REGIONALE EMILIA ROMAGNA";"1C29F5AE-1B1C-4AAC-9070-EED0B0B7E0AC";"SERVIZIO LAVORI PUBBLICI";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0002359AB2";"";"3291";"S.P. N. 188, TRONCO: BUSCA-TARANTASCA-CENTALLO. LAVORI PER LE OPERE DI SISTEMAZIONE DEL TRACCIATO";"90262.0";;"S.P. N. 188, TRONCO: BUSCA-TARANTASCA-CENTALLO. LAVORI PER LE OPERE DI SISTEMAZIONE DEL TRACCIATO";"90262.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-24";"2007-04-16";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000162859";"00447820044";"PROVINCIA DI CUNEO";"SEZIONE REGIONALE PIEMONTE";"EA078554-283D-4262-983A-5C74817795E8";"SETTORE AFFARI GENERALI E CONTRATTI";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"000663428C";"";"10703";"FORNITURA DI TRASFORMATORI TED. 2KVA PER IL SERVZIO DI PUBBLICA ILLUMINAZIONE";"22000.0";;"FORNITURA DI TRASFORMATORI TED. 2KVA PER IL SERVZIO DI PUBBLICA ILLUMINAZIONE";"22000.0";"FORNITURE";"ATTIVO";"SETTORI SPECIALI";"";"";"2007-02-21";"2007-02-28";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000219748";"04797170828";"AMG ENERGIA S.P.A.";"SEZIONE REGIONALE SICILIA";"06D317FC-8930-4E68-9749-4B99F3567FB0";"UFFICIO TECNICO PUBBLICA ILLUMINAZIONE";"2007";"2";"31000000-6";"MACCHINE E APPARECCHI, ATTREZZATURE E ARTICOLI DI CONSUMO ELETTRICI.";"1"
"4486429E51";"0550234375";"4432922";"PROCEDURA APERTA PER LA FORNITURA TRIENNALE DI PROTESI VASCOLARI E PATCH. QUOTA ULSS 7 PIEVE DI SOLIGO";"42000.0";"1";"LOTTO N. 6 - PROTESI VASCOLARI IN EPTFE SPESSORE PARETE 0.37 MM MAXIFLO ULTRATHIN CON DOPPIA PELLICOLA - VASCUTEK TERUMO.";"42000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-01";"2007-02-01";"27";"AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE";"11";"CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO";"0000171627";"00896790268";"U.L.S.S. N. 7 REGIONE VENETO";"SEZIONE REGIONALE VENETO";"9B0DE724-226F-49DC-A034-0832C43395FC";"SERVIZIO PROVVEDITORATO ECONOMATO";"2007";"2";"33184200-5";"PROTESI VASCOLARI.";"1"
"000316108A";"";"4916";"STRUMETAZIONE AD USO AMBULATORIALE";"35900.0";;"FONENDOSCOPIO ERKA";"100.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-08";"2007-03-02";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000184181";"01614660353";"AZIENDA OSPEDALE SANTA MARIA NUOVA";"SEZIONE REGIONALE EMILIA ROMAGNA";"BB11EF67-5FE1-4E1C-B8AF-9AAAB79E59D4";"SERVIZIO ACQUISTI";"2007";"2";"33000000-0";"APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.";"1"
"0008506B5C";"";"13231";"FORNITURA MATERIALI E OPERE IN VETRO";"164471.0";;"FORNITURA MATERIALI E OPERE IN VETRO";"164471.67";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-28";"2007-03-28";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000160226";"00405030586";"ACI INFORMATICA SOCIETA' PER AZIONI IN BREVE ACI INFORMATICA S.P.A.";"SEZIONE REGIONALE CENTRALE";"92ADEEA7-02DE-43FC-B4A4-ACBB71B29387";"DIREZIONE CENTRALE AFFARI AMMINISTRATIVI E DEL PERSONALE";"2007";"2";"36000000-1";"BENI MANUFATTI, MOBILI, ARTIGIANATO, PRODOTTI PER USO SPECIALE E MATERIALE CORRENTE AFFINE.";"1"
"285726627E";"";"2902963";"FORNITURA ENDOPROTESI PER RADIOLOGIA VASCOLARE ED INTERVENTISTICA";"1840000.0";"4";"LOTTO 2 ENDOPROTESI TORACICA";"460000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-09";"2007-02-28";"4";"PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE";"1";"CONTRATTO DAPPALTO";"0000188543";"01521330033";"AZIENDA OSPEDALIERO-UNIVERSITARIA MAGGIORE DELLA CARITA ";"SEZIONE REGIONALE PIEMONTE";"0464B7F2-85E5-4F88-BBE7-6B7C60359DF1";"S.C.PROVVEDITORATO ECONOMATO";"2007";"2";"33184200-5";"PROTESI VASCOLARI.";"1"
"0005736D7B";"";"9260";"LAVORI DI ADEGUAMENTO IMPIANTISTICO DELL'IMMOBILE SEDE DELL'AGENZIA DELLE ENTRATE DI ALESSANDRIA";"199734.0";;"LAVORI DI ADEGUAMENTO IMPIANTISTICO DELL'IMMOBILE SEDE DELL'AGENZIA DELLE ENTRATE DI ALESSANDRIA";"199734.13";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-19";"2007-02-27";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000244287";"80093050013";"MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI PROVVEDITORATO INTER.ALE PER LE OPERE PUBBLICHE DEL PIEMONTE E VALLE D'AOSTA";"SEZIONE REGIONALE CENTRALE";"4178";"PROVVEDITORATO REGIONALE PER PIEMONTE E VAL D'AOSTA";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0004551B97";"";"7266";"SERVIZIO VIGILANZA PRESSO ENTI, REPARTI E DTACCAMENTI";"6443162.0";;"SERVIZIO DI VIGILANZA PRESSO EDR NELLA PROVINCIA DI TERNI";"300125.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-14";"2007-02-21";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000247389";"97161630583";"MINISTERO DIFESA DIR.GEN.COMMISS.TO SERVIZI GENERALI";"SEZIONE REGIONALE CENTRALE";"D3F7B5DD-45A3-4C7B-97DE-0BAEB02BF0E9";"DIREZIONE GENERALE DEI SERVIZI GENERALI TERZA DIVISIONE";"2007";"2";"93000000-8";"SERVIZI VARI.";"1"
"0007024462";"";"11074";"MULINO S.PIETRO-RISTRUTTURAIZONE PORZIONE EX RESIDENZIALE  SISTEMAZIONE AREA ESTERNA.";"135000.0";;"MULINO S.PIETRO-RISTRUTTURAZIONE PORZIONE EX RESIDENZIALE E SISTEMAZIONE AREA ESTERNA.";"135000.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-21";"2007-02-22";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000165573";"00479150047";"COMUNE DI BERNEZZO";"SEZIONE REGIONALE PIEMONTE";"44CB4097-571D-4574-A6D6-F832A1ED7F3A";"UFFICIO TECNICO DI BERNEZZO";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0004321DC9";"";"6916";"FORNITURA MATERIALE PER MANUTENZIONE";"110000.0";;"MATERIALE MANUTENZIONE";"110000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-13";"2007-03-02";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000192207";"01997680796";"AZIENDA SANITARIA N.8";"SEZIONE REGIONALE CALABRIA";"940BCA27-95C0-4DDF-9EA4-10BEC3709B94";"U.O. PROVVEDITORATO ED ECONOMATO";"2007";"2";"31000000-6";"MACCHINE E APPARECCHI, ATTREZZATURE E ARTICOLI DI CONSUMO ELETTRICI.";"1"
"0005445D57";"";"8747";"PROCEDURA NEGOZIATA PER LA FORNITURA DI MATERIALE DI CANCELLERIA (LOTTO 1) E DI TONER E CARTUCCE ORIGINALI PER STAMPANTI E FAX (LOTTO 2)";"53800.0";"2";"PROCEDURA NEGOZIATA PER LA FORNITURA DI MATERIALE DI CANCELLERIA";"28500.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-16";"2007-03-06";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO DAPPALTO";"0000189548";"01710790211";"AZIENDA SERVIZI SOCIALI DI BOLZANO";"SEZIONE REGIONALE  PROVINCIA AUTONOMA DI BOLZANO";"C38CE957-8369-431A-8774-E75FD719AA54";"UFFICIO APPALTI E PATRIMONIO";"2007";"2";"30000000-9";"MACCHINE PER UFFICIO ED ELABORATORI ELETTRONICI, ATTREZZATURE E FORNITURE.";"1"
"0012018D8D";"";"18142";"CAMPIONI DI CONTROLLO PER VALUTAZIONE ESTERNA DI QUALITÀ (VEQ)";"90000.0";;"CAMPIONI DI CONTROLLO PER VALUTAZIONE ESTERNA DI QUALITÀ PER ALTRI LABORATORI";"30000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-28";"2007-03-29";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000198413";"02261430926";"AZIENDA ASL N.8 DI CAGLIARI";"SEZIONE REGIONALE SARDEGNA";"C319E22F-E82C-4896-938B-65AC8B971F22";"SERVIZIO ACQUISTI";"2007";"2";"33000000-0";"APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.";"1"
"0021409343";"";"32085";"FORNITURA DI N. 120 PANCHINE IN PROFILATI D'ACCIAIO VERNICIATO MOD. LIBRE";"38400.0";;"FORNITURA DI N. 120 PANCHINE IN PROFILATI D'ACCIAIO VERNICIATO MOD. LIBRE";"38400.25";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-16";"2007-04-03";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000159308";"00215150236";"COMUNE DI VERONA";"SEZIONE REGIONALE VENETO";"23A00F54-BC3C-4D31-A368-46A60A0AC01E";"A06 STRADE GIARDINI ARREDO URBANO";"2007";"2";"36000000-1";"BENI MANUFATTI, MOBILI, ARTIGIANATO, PRODOTTI PER USO SPECIALE E MATERIALE CORRENTE AFFINE.";"1"
"004562421D";"";"67336";"AUTORIZZAZIONE ALL'ACQUISTO DI FARMACI E PRODOTTI PARAFARMACEUTICI PER USO UMANO";"27000.0";;"ACQUISTO DI FARMACI E PRODOTTI PARAFARMACEUTICI";"27000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-27";"2007-03-12";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000234924";"12313930153";"AZIENDA SANITARIA LOCALE - PROVINCIA DI MILANO 1";"SEZIONE REGIONALE LOMBARDIA";"E3F3BB47-0709-4AFA-BC36-588E3697EA2C";"U.O.C. GESTIONE RISORSE MATERIALI";"2007";"2";"33000000-0";"APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.";"1"
"006250900F";"";"92256";"ACCALAPPIAMENTO CANI E GATTI VAGANTI  NEL TERRITOTIO DELL'AZIENDA";"126000.0";;"ACCALAPPIAMENTO AREA CASTELLI";"126000.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-19";"2007-03-28";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000219064";"04737811002";"AZIENDA SANITARIA LOCALE ROMA 6";"SEZIONE REGIONALE LAZIO";"83BDEED2-1EC4-4A68-B44F-194A2EDDD00E";"AREA ACQUISTI E APPROVVIGIONAMENTI";"2007";"2";"85000000-9";"SERVIZI SANITARI E DI ASSISTENZA SOCIALE.";"1"
"0007266C14";"";"11421";"NUOVA COSTRUZIONE CENTRO DIURNO CON ASSISTENZA DIURNA, COMUNITÀ ALLOGGIO E STRUTTURE INTEGRATIVE DI ASSISTENZA AGLI ANZIANI IN VIA CROCE ? IMPIANTO ELETTRICO: APPROVAZIONE DEI DOCUMENTI TECNICI E DEL METODO D'APPALTO.";"186175.52";"1";"UNICO";"186175.52";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-22";"2007-03-26";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000242824";"82005370216";"GEMEINDE PRAD";"SEZIONE REGIONALE  PROVINCIA AUTONOMA DI BOLZANO";"237A0246-352E-452E-B5E0-67E906D91CB4";"SEGRETERIA";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"000310959F";"";"4855";"REALIZZAZIONE STRUTTURA IN ACCIAIO (CONTROL ROOM) PER ESPERIMENTO GERDA";"200000.0";;"1";"200000.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-19";"2007-05-31";"2";"PROCEDURA RISTRETTA";"1";"CONTRATTO D'APPALTO";"0000241882";"84001850589";"ISTITUTO NAZIONALE DI FISICA NUCLEARE (I.N.F.N.)";"SEZIONE REGIONALE CENTRALE";"C43E3BF7-014F-4B77-BDF2-D6635BB44550";"LABORATORI NAZIONALI DEL GRAN SASSO";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0011806E9A";"";"17889";"MANUTENZIONE STRAORDINARIA DI TRATTI DI RETI DI SOTTOSUOLO E STRADE COMUNALI";"26974.0";;"MANUTENZIONE STRAORDINARIA DI TRATTI DI RETI DI SOTTOSUOLO E STRADE COMUNALI";"26974.24";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-12";"2007-02-26";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000199067";"00625020821";"COMUNE DI CIMINNA";"SEZIONE REGIONALE SICILIA";"6FF5DA14-9094-41BD-ABCC-2B5398980BB1";"UFFICIO TECNICO";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0003294E47";"";"5243";"FORNITURA MORSETTERIA NON UNIFICATA PER LINEE LEETTRICHE AT";"343524.0";;"FORNITURA MORSETTERIA NON UNIFICATA PER LINEE LEETTRICHE AT";"343524.0";"FORNITURE";"ATTIVO";"SETTORI SPECIALI";"";"";"2007-02-08";"2007-02-21";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000225430";"05779661007";"TERNA - RETE ELETTRICA NAZIONALE SOCIETA' PER AZIONI (IN FORMA ABBREVIATA TERNA S.P.A.)";"SEZIONE REGIONALE CENTRALE";"54A78387-185A-4BD5-B2CD-4BE7D98371FB";"FUNZIONE ACQUISTI E APPALTI PER LINEE";"2007";"2";"27000000-5";"METALLI DI BASE E PRODOTTI CONNESSI.";"1"
